	Col01	Col02	Col03	Col04	Col05	Col06	Col07	Col08	Col09	Col10	Col11	Col12	Wt
Row01	4	8	3	11	6	7	2	5	12	9	10	match	1
Row02	11	9	3	12	7	6	10	match	4	8	5	2	1
Row03	11	match	4	2	9	6	8	3	12	7	10	5	1
Row04	8	6	9	10	3	match	11	5	12	7	2	4	1
Row05	2	6	11	9	10	7	match	12	3	5	8	4	1
Row06	match	4	9	10	2	12	6	5	11	3	7	8	1
Row07	10	3	match	6	5	4	12	7	11	8	9	1	1
Row08	4	5	11	match	8	12	9	2	6	10	7	3	1
Row09	match	12	11	6	5	7	2	9	3	10	4	8	1
Row10	2	9	7	5	11	12	4	match	8	3	10	6	1
Row11	3	8	9	11	5	10	6	4	12	7	match	2	1
Row12	12	8	4	6	3	5	10	11	9	2	match	7	1
Row13	8	4	9	3	12	7	5	6	2	match	10	11	1
Row14	9	5	6	8	3	4	2	7	11	10	match	12	1
Row15	10	5	7	11	12	match	9	3	2	8	4	6	1
Row16	5	6	8	3	10	2	9	11	match	7	4	12	1
Row17	11	match	7	3	12	8	4	10	9	6	5	2	1
Row18	3	6	4	10	match	2	9	5	12	11	7	8	1
Row19	8	7	10	12	6	2	9	11	3	match	5	4	1
Row20	8	4	11	9	7	match	5	12	6	2	10	3	1
Row21	7	8	12	9	2	11	match	5	3	4	6	10	1
Row22	5	11	match	10	2	8	3	9	4	7	6	12	1
Row23	5	match	3	10	6	8	12	11	9	4	7	1	1
Row24	5	8	7	2	9	6	4	11	12	3	match	10	1
Row25	11	5	2	12	10	3	7	match	4	8	9	6	1
Limit	1	1	2	4	5	1	0	3	3	0	0	0	1
